code,country,year,gdp,infrate,trade,schooling,invest60,invest70,invest80,industry
1,USA,1960,2879,,9.693181,43.799999,,,,
1,USA,1961,2929,1.075182,9.4446545,,,,,
1,USA,1962,3103,1.116071,9.4293242,,,,,
1,USA,1963,3227,1.214128,9.470706,,,,,
1,USA,1964,3420,1.308615,9.7258787,,,,,
1,USA,1965,3667,1.668461,9.7303467,43.799999,,,,
1,USA,1966,3974,2.9909999,10.097592,,,,,
1,USA,1967,4154,2.775636,10.208102,,,,,
1,USA,1968,4494,4.217721,10.593937,,,,,
1,USA,1969,4805,5.414701,10.635633,,,,,
1,USA,1970,4999,5.8952961,11.388641,44.400002,,,,
1,USA,1971,5362,4.255929,11.367576,,,,,34.508629
1,USA,1972,5838,3.3056149,11.967158,,,,,34.44429
1,USA,1973,6464,6.2200642,13.713565,,,,,34.37521
1,USA,1974,6951,11.03526,17.316135,,,,,34.03606
1,USA,1975,7519,9.1319304,16.37969,42.599998,,,,33.22567
1,USA,1976,8300,5.7370272,16.873659,,,,,33.760849
1,USA,1977,9146,6.4864602,17.220591,,,,,34.264641
1,USA,1978,10229,7.6474638,17.80619,,,,,34.037231
1,USA,1979,11306,11.26604,19.280546,,,,,33.62648
1,USA,1980,12186,13.50937,21.081579,62.900002,0.23884,0.24568,22.375999,33.514389
1,USA,1981,13533,10.31553,20.363241,,,,,34.08828
1,USA,1982,13940,6.1606159,18.471621,,,,,32.909691
1,USA,1983,15008,3.212435,17.624308,,,,,31.497219
1,USA,1984,16549,4.3172688,18.577013,,,,,31.87278
1,USA,1985,17600,3.561116,17.642408,57.400002,,,,30.864519
1,USA,1986,18439,1.858736,17.954124,,,,,29.44326
1,USA,1987,19407,3.740876,19.116186,,,,,29.19973
1,USA,1988,20711,4.009088,20.330818,,,,,29.606489
1,USA,1989,22047,4.827003,20.730293,,,,,28.61904
1,USA,1990,23064,5.3979559,21.18795,44.400002,,,,27.850321
1,USA,1991,23507,4.2349639,21.26635,,,,,26.62006
1,USA,1992,24509,3.02882,21.54221,,,,,25.72843
1,USA,1993,25409,2.9516571,21.55765,,,,,25.61001
1,USA,1994,26670,2.6074419,22.618219,,,,,26.082951
1,USA,1995,27574,2.8054199,24.273979,44.599998,,,,26.29285
1,USA,1996,28814,2.9312041,24.58247,,,,,25.7854
1,USA,1997,30262,2.3376901,25.591539,,,,,25.384291
1,USA,1998,31519,1.552279,24.690569,,,,,25.018841
1,USA,1999,33028,2.1880269,,,,,,24.72505
1,USA,2000,34603,3.376857,,39.599998,,,,24.443489
1,USA,2001,35341,2.8261709,,,,,,23.04858
1,USA,2002,36180,1.586032,,,,,,
1,USA,2003,37548,2.2700951,,,,,,
2,UK,1960,2158,,43.25547,24.5,,,,
2,UK,1961,2216,3.5794179,41.533241,,,,,
2,UK,1962,2276,4.103672,40.404633,,,,,
2,UK,1963,2386,2.0746889,40.406586,,,,,
2,UK,1964,2534,3.2113819,40.518764,,,,,
2,UK,1965,2660,4.8050408,39.225338,26.5,,,,
2,UK,1966,2794,3.9083049,38.964634,,,,,
2,UK,1967,2923,2.423146,39.313187,,,,,
2,UK,1968,3173,4.731638,43.665131,,,,,
2,UK,1969,3391,5.4619021,44.038982,,,,,
2,UK,1970,3615,6.3618932,45.247738,28.9,,,,
2,UK,1971,3854,9.4078751,44.933399,,,,,43.07859
2,UK,1972,4149,7.0879121,43.559044,,,,,42.560081
2,UK,1973,4683,9.2098513,49.803581,,,,,42.135399
2,UK,1974,5036,15.90322,60.96212,,,,,41.623749
2,UK,1975,5481,24.235081,53.562061,31,,,,40.488178
2,UK,1976,5953,16.532551,58.169788,,,,,41.08992
2,UK,1977,6489,15.88198,59.420418,,,,,41.33041
2,UK,1978,7176,8.2159624,55.656792,,,,,41.465809
2,UK,1979,7973,13.46571,55.690353,,,,,41.823872
2,UK,1980,8502,17.970591,52.326874,32.900002,0.2008,0.22601999,17.587999,42.346298
2,UK,1981,9161,11.87983,50.51421,,,,,41.894661
2,UK,1982,9917,8.5905294,50.752407,,,,,41.491692
2,UK,1983,10669,4.607018,52.091301,,,,,40.901451
2,UK,1984,11336,4.9534092,57.00433,,,,,40.382359
2,UK,1985,12068,6.0654211,56.622364,35.700001,,,,39.762779
2,UK,1986,12795,3.4276149,52.056396,,,,,39.134338
2,UK,1987,13717,4.1489182,51.936165,,,,,38.030521
2,UK,1988,14864,4.9079762,49.649181,,,,,37.21299
2,UK,1989,15716,7.7972708,51.64563,,,,,36.629669
2,UK,1990,16397,9.4755878,51.467461,38.5,,,,35.17424
2,UK,1991,16681,5.853981,48.209381,,,,,33.12701
2,UK,1992,17069,3.7326009,49.349758,,,,,31.889669
2,UK,1993,17845,1.564474,52.593632,,,,,31.270929
2,UK,1994,18975,2.47645,54.257759,,,,,31.693331
2,UK,1995,19860,3.410996,57.896839,39.900002,,,,31.996481
2,UK,1996,20923,2.4487059,59.849579,,,,,31.86726
2,UK,1997,22280,3.132333,57.84053,,,,,31.074129
2,UK,1998,23206,3.41817,55.989063,,,,,29.46092
2,UK,1999,23959,1.555385,,,,,,28.59877
2,UK,2000,25583,2.9270999,,39.099998,,,,28.47661
2,UK,2001,27026,1.820852,,,,,,27.475519
2,UK,2002,28969,1.6344579,,,,,,26.990379
2,UK,2003,29609,2.9136319,,,,,,26.59016
3,Austria,1960,1796,,48.126095,48.700001,,,,
3,Austria,1961,1899,3.5422561,46.525959,,,,,
3,Austria,1962,1977,4.3817849,47.171013,,,,,
3,Austria,1963,2074,2.70877,47.977253,,,,,
3,Austria,1964,2224,3.868571,48.415096,,,,,
3,Austria,1965,2336,4.9309111,49.6133,47.599998,,,,
3,Austria,1966,2537,2.2058821,50.31641,,,,,
3,Austria,1967,2668,3.9749999,49.683853,,,,,
3,Austria,1968,2908,2.773103,50.410915,,,,,
3,Austria,1969,3239,3.0804019,54.232513,,,,,
3,Austria,1970,3732,4.3728251,59.711964,46.5,,,,
3,Austria,1971,4100,4.7042618,59.185368,,,,,41.21851
3,Austria,1972,4513,6.3620629,59.090919,,,,,41.525631
3,Austria,1973,4969,7.5240822,59.262428,,,,,42.23682
3,Austria,1974,5622,9.5217915,64.811729,,,,,42.260269
3,Austria,1975,6147,8.4452553,61.598152,45.599998,,,,40.128139
3,Austria,1976,6810,7.3186889,65.170868,,,,,39.3979
3,Austria,1977,7588,5.4749999,65.209686,,,,,39.05883
3,Austria,1978,8117,3.579047,64.740669,,,,,39.235649
3,Austria,1979,9288,3.707094,69.698715,,,,,38.1772
3,Austria,1980,10312,6.3253899,73.995857,61.799999,0.26337999,0.31104001,26.642,38.09647
3,Austria,1981,11242,6.8068619,76.079674,,,,,37.830849
3,Austria,1982,12148,5.440414,71.684555,,,,,36.904591
3,Austria,1983,13048,3.335381,70.534111,,,,,36.410431
3,Austria,1984,13533,5.6648641,75.512695,,,,,35.23595
3,Austria,1985,14296,3.1896939,79.065735,60,,,,35.582439
3,Austria,1986,14921,1.7009211,70.925285,,,,,35.291531
3,Austria,1987,15549,1.4,69.633995,,,,,34.791962
3,Austria,1988,16595,1.931295,74.935471,,,,,34.583389
3,Austria,1989,17768,2.5638959,78.906845,,,,,34.11145
3,Austria,1990,19070,3.2623219,79.029663,57.900002,,,,34.110531
3,Austria,1991,20172,3.334348,78.769096,,,,,33.98061
3,Austria,1992,20960,4.0297632,76.002907,,,,,33.033249
3,Austria,1993,21220,3.6258061,73.35833,,,,,32.18623
3,Austria,1994,22139,2.959065,75.149643,,,,,32.138279
3,Austria,1995,22976,2.2500999,77.784943,55.700001,,,,32.44965
3,Austria,1996,24008,1.843557,80.743919,,,,,32.29562
3,Austria,1997,24472,1.325,85.257927,,,,,32.726978
3,Austria,1998,25314,0.90467972,,,,,,32.84259
3,Austria,1999,26558,0.56239301,,,,,,32.900028
3,Austria,2000,28359,2.350462,,55,,,,32.774849
3,Austria,2001,28855,2.6599619,,,,,,32.168598
3,Austria,2002,29942,1.810212,,,,,,31.984779
3,Austria,2003,30796,1.3634191,,,,,,31.737129
4,Belgium,1960,1782,,77.341782,27.1,,,,
4,Belgium,1961,1883,0.98314607,80.016273,,,,,
4,Belgium,1962,2018,1.404729,82.437759,,,,,
4,Belgium,1963,2122,2.1533401,85.66539,,,,,
4,Belgium,1964,2288,4.1756182,86.620453,,,,,
4,Belgium,1965,2414,4.0598021,85.261909,28.5,,,,
4,Belgium,1966,2559,4.173892,89.370125,,,,,
4,Belgium,1967,2719,2.912852,86.239647,,,,,
4,Belgium,1968,2958,2.7033269,90.623016,,,,,
4,Belgium,1969,3308,3.7457819,97.949638,,,,,
4,Belgium,1970,3797,3.9141281,100.42813,28.700001,,,,
4,Belgium,1971,4129,4.3405681,97.975098,,,,,42.50227
4,Belgium,1972,4512,5.4475002,97.54892,,,,,41.944149
4,Belgium,1973,5039,6.9552779,107.77507,,,,,42.515091
4,Belgium,1974,5707,12.67789,120.51753,,,,,43.293011
4,Belgium,1975,6146,12.7682,104.77955,30.299999,,,,40.01701
4,Belgium,1976,6854,9.1587,110.8381,,,,,40.133949
4,Belgium,1977,7326,7.1108479,109.5376,,,,,39.495281
4,Belgium,1978,8056,4.4705949,105.68562,,,,,38.45702
4,Belgium,1979,8921,4.4690838,116.28985,,,,,38.20924
4,Belgium,1980,10156,6.6509752,117.16876,31.6,0.26864001,0.28246,21.875999,36.84375
4,Belgium,1981,11079,7.628274,126.35263,,,,,34.465172
4,Belgium,1982,11827,8.7258511,134.42366,,,,,34.4062
4,Belgium,1983,12334,7.6633701,137.18913,,,,,34.140591
4,Belgium,1984,13113,6.347517,146.64285,,,,,33.48085
4,Belgium,1985,13735,4.8676758,140.55513,32.599998,,,,34.213501
4,Belgium,1986,14292,1.295501,126.71104,,,,,33.229149
4,Belgium,1987,15013,1.5544831,122.64662,,,,,32.101799
4,Belgium,1988,16209,1.162051,129.20561,,,,,32.88089
4,Belgium,1989,17345,3.1054499,138.38467,,,,,33.229431
4,Belgium,1990,18526,3.4528229,134.00658,32.599998,,,,32.664299
4,Belgium,1991,19453,3.2085519,130.8264,,,,,30.661619
4,Belgium,1992,20123,2.429914,126.43597,,,,,30.110929
4,Belgium,1993,20308,2.753963,120.23799,,,,,28.998671
4,Belgium,1994,21340,2.377799,125.53788,,,,,28.923639
4,Belgium,1995,22248,1.466814,129.36067,30.5,,,,29.53443
4,Belgium,1996,22687,2.058919,131.87495,,,,,29.14131
4,Belgium,1997,23416,1.627459,141.31438,,,,,29.257811
4,Belgium,1998,24164,0.95362258,149.6824,,,,,28.63953
4,Belgium,1999,24792,1.119242,,,,,,27.95392
4,Belgium,2000,26631,2.5462461,,28,,,,28.08952
4,Belgium,2001,28001,2.4712729,,,,,,27.25738
4,Belgium,2002,29330,1.643454,,,,,,27.01092
4,Belgium,2003,30082,1.5913121,,,,,,26.484779
5,Denmark,1960,2329,,65.782196,46.099998,,,,
5,Denmark,1961,2485,3.4516289,61.540672,,,,,
5,Denmark,1962,2665,7.37782,60.337379,,,,,
5,Denmark,1963,2700,6.1050329,60.416042,,,,,
5,Denmark,1964,2980,3.092783,61.678101,,,,,
5,Denmark,1965,3177,5.4499998,61.388741,45.5,,,,
5,Denmark,1966,3377,7.06496,59.872742,,,,,
5,Denmark,1967,3580,8.2078533,57.854729,,,,,
5,Denmark,1968,3892,7.9536152,57.879894,,,,,
5,Denmark,1969,4352,3.487931,58.468327,,,,,
5,Denmark,1970,4541,6.5148368,60.321808,44.5,,,,
5,Denmark,1971,4858,5.8698769,58.494747,,,,,31.78034
5,Denmark,1972,5262,6.5623479,54.942623,,,,,31.531469
5,Denmark,1973,5719,9.3033886,60.465103,,,,,30.284731
5,Denmark,1974,6121,15.2752,68.138985,,,,,29.58704
5,Denmark,1975,6565,9.6056137,62.650646,44.900002,,,,29.250561
5,Denmark,1976,7371,9,63.949295,,,,,28.24987
5,Denmark,1977,7901,11.13914,62.842953,,,,,28.02203
5,Denmark,1978,8585,10.00894,59.208858,,,,,27.56307
5,Denmark,1979,9566,9.6110554,62.885948,,,,,26.88064
5,Denmark,1980,10362,12.30532,68.160645,43.400002,0.29344001,0.33284,22.217999,28.233141
5,Denmark,1981,11106,11.79159,74.18737,,,,,26.577101
5,Denmark,1982,12115,10.08994,74.134293,,,,,26.75725
5,Denmark,1983,12822,6.9073091,72.488731,,,,,26.989759
5,Denmark,1984,13777,6.3220792,73.978584,,,,,27.290581
5,Denmark,1985,14698,4.652379,74.850471,42.5,,,,27.62063
5,Denmark,1986,15608,3.7212789,66.168907,,,,,28.24608
5,Denmark,1987,16024,3.9850709,62.581482,,,,,27.91802
5,Denmark,1988,16766,4.5501909,63.532341,,,,,27.08609
5,Denmark,1989,17418,4.7840528,67.066689,,,,,27.020679
5,Denmark,1990,18237,2.6527159,66.584679,49.900002,,,,26.544291
5,Denmark,1991,19070,2.36796,68.532112,,,,,26.169559
5,Denmark,1992,19829,2.1019809,66.430893,,,,,26.345341
5,Denmark,1993,20199,1.250985,63.976089,,,,,25.190121
5,Denmark,1994,21691,1.994357,65.612671,,,,,25.311541
5,Denmark,1995,22693,2.0984361,66.717857,47,,,,25.757509
5,Denmark,1996,23781,2.1113601,66.073807,,,,,25.95113
5,Denmark,1997,24878,2.195791,68.587067,,,,,26.045151
5,Denmark,1998,25669,1.853178,,,,,,26.000641
5,Denmark,1999,27113,2.4786849,,,,,,26.2223
5,Denmark,2000,28798,2.9247789,,46.5,,,,27.18491
5,Denmark,2001,29837,2.3499999,,,,,,26.28203
5,Denmark,2002,30318,2.4263151,,,,,,26.400669
5,Denmark,2003,30853,2.09062,,,,,,26.40539
6,France,1960,1858,,26.919622,25.700001,,,,
6,France,1961,1959,2.414562,26.21155,,,,,
6,France,1962,2099,5.2472501,24.89856,,,,,
6,France,1963,2205,4.9396901,25.005909,,,,,
6,France,1964,2367,3.2293379,25.622961,,,,,
6,France,1965,2526,2.71474,25.749504,25.799999,,,,
6,France,1966,2728,2.5707209,26.475941,,,,,
6,France,1967,2915,2.8183191,26.188457,,,,,
6,France,1968,3163,4.5521288,26.57132,,,,,
6,France,1969,3531,6.0393262,28.73958,,,,,
6,France,1970,3857,5.8454752,31.085831,26,,,,
6,France,1971,4203,5.3975139,31.760962,,,,,38.649269
6,France,1972,4535,6.063004,32.391918,,,,,38.697899
6,France,1973,5008,7.3805971,34.279339,,,,,37.94067
6,France,1974,5594,13.64932,42.390965,,,,,37.567768
6,France,1975,6077,11.68593,36.927505,26.799999,,,,37.66209
6,France,1976,6673,9.625493,39.892372,,,,,37.490768
6,France,1977,7292,9.4945564,40.849865,,,,,36.88102
6,France,1978,8031,9.2505589,39.488529,,,,,36.230061
6,France,1979,8948,10.64674,41.879051,,,,,35.840729
6,France,1980,9891,13.53911,44.269318,34.5,0.27805999,0.32870001,27.236,36.0303
6,France,1981,10929,13.33333,46.10194,,,,,35.172989
6,France,1982,11869,11.97848,45.501305,,,,,34.09864
6,France,1983,12518,9.459548,45.127838,,,,,33.51458
6,France,1984,13145,7.6738029,47.646427,,,,,33.121159
6,France,1985,13746,5.831099,47.159176,36.299999,,,,32.787128
6,France,1986,14308,2.538527,41.344673,,,,,31.803949
6,France,1987,14940,3.288898,41.144371,,,,,30.94018
6,France,1988,16040,2.7008171,42.526455,,,,,30.74395
6,France,1989,17193,3.498302,45.686443,,,,,30.22196
6,France,1990,18244,3.3800571,45.130569,36.900002,,,,29.69998
6,France,1991,19021,3.2169349,45.04747,,,,,29.520161
6,France,1992,19746,2.3657651,44.026119,,,,,29.157129
6,France,1993,19920,2.10601,41.841209,,,,,27.45125
6,France,1994,20695,1.6608731,43.401379,,,,,27.18095
6,France,1995,21545,1.778116,44.69141,37.299999,,,,27.2759
6,France,1996,22288,2.0083621,45.604462,,,,,26.606609
6,France,1997,23370,1.200322,49.360401,,,,,26.041229
6,France,1998,24412,0.67259711,,,,,,25.945641
6,France,1999,25111,0.5,,,,,,25.49264
6,France,2000,26690,1.691542,,37.299999,,,,25.48119
6,France,2001,28043,1.6634049,,,,,,25.501699
6,France,2002,28829,1.9249279,,,,,,25.308121
6,France,2003,29210,2.1010389,,,,,,24.47357
7,West Germany,1960,2284,,35.459682,61,,,,44.987244
7,West Germany,1961,2388,2.5157232,33.836784,,,,,
7,West Germany,1962,2527,2.7607362,33.466377,,,,,
7,West Germany,1963,2610,2.9850745,34.160629,,,,,
7,West Germany,1964,2806,2.3188405,34.566139,,,,,
7,West Germany,1965,3005,3.3994334,35.816799,58.900002,,,,
7,West Germany,1966,3168,3.5616438,36.628227,,,,,
7,West Germany,1967,3241,1.5873016,37.226662,,,,,
7,West Germany,1968,3571,1.0416666,39.09016,,,,,
7,West Germany,1969,3998,2.0618556,40.571236,,,,,
7,West Germany,1970,4367,3.2828283,40.318378,57,,,,38.217014
7,West Germany,1971,4686,5.1344743,39.739914,,,,,48.001259
7,West Germany,1972,5055,5.3488374,39.230003,,,,,46.946892
7,West Germany,1973,5553,6.843267,40.75988,,,,,46.534359
7,West Germany,1974,6074,6.818182,48.393688,,,,,45.70887
7,West Germany,1975,6603,5.9961314,46.457829,46.799999,,,,43.37009
7,West Germany,1976,7367,4.3795619,49.103081,,,,,43.613609
7,West Germany,1977,8090,3.4965036,48.564785,,,,,43.166019
7,West Germany,1978,8928,2.5337837,47.071793,,,,,42.96508
7,West Germany,1979,10067,3.7891269,49.485752,,,,,43.08099
7,West Germany,1980,11083,5.2380953,53.336185,52.5,0.33737999,0.32563999,27.017998,36.04203
7,West Germany,1981,12115,6.3348417,56.67342,,,,,35.423489
7,West Germany,1982,12761,5.3900709,57.341839,,,,,34.778473
7,West Germany,1983,13519,3.2301481,55.482639,,,,,35.085144
7,West Germany,1984,14481,2.3468058,58.791813,,,,,34.51585
7,West Germany,1985,15291,2.0382166,61.519432,58.5,,,,34.851387
7,West Germany,1986,15998,-0.2496879,55.117413,,,,,34.366795
7,West Germany,1987,16679,0.12515645,52.914875,,,,,34.090187
7,West Germany,1988,17786,1.125,53.910343,,,,,33.772335
7,West Germany,1989,18994,2.8430161,57.664852,,,,,33.96273
7,West Germany,1990,20465,2.7644231,58.3615,56.200001,,,,
7,West Germany,1991,21602,3.7426901,,,,,,
7,West Germany,1992,22154,4.0586247,,,,,,
7,West Germany,1993,21878,3.6836402,,,,,,
7,West Germany,1994,22371,2.8213167,,,,,,
7,West Germany,1995,23035,1.6260163,,,,,,
7,West Germany,1996,23742,1.3,,,,,,
7,West Germany,1997,24156,1.7769003,,,,,,
7,West Germany,1998,24931,0.87293887,,,,,,
7,West Germany,1999,25755,0.67307693,,,,,,
7,West Germany,2000,26943,,,,,,,
7,West Germany,2001,27449,,,,,,,
7,West Germany,2002,28348,,,,,,,
7,West Germany,2003,28855,,,,,,,
8,Italy,1960,1620,,26.573429,13.9,,,,
8,Italy,1961,1763,2.702703,26.883282,,,,,
8,Italy,1962,1900,3.9473679,27.117237,,,,,
8,Italy,1963,2021,7.5949368,27.785471,,,,,
8,Italy,1964,2093,5.8823528,26.755199,,,,,
8,Italy,1965,2205,4.4444451,27.677755,14.1,,,,
8,Italy,1966,2400,3.191489,29.030056,,,,,
8,Italy,1967,2624,3.092783,29.300257,,,,,
8,Italy,1968,2910,2,29.876673,,,,,
8,Italy,1969,3227,1.960784,31.844769,,,,,
8,Italy,1970,3602,4.807693,32.854187,17.5,,,,
8,Italy,1971,3834,5.5045872,33.224659,,,,,40.38538
8,Italy,1972,4101,5.217391,34.73354,,,,,39.51487
8,Italy,1973,4594,10.7438,36.741856,,,,,40.68504
8,Italy,1974,5240,19.402981,44.558479,,,,,42.32259
8,Italy,1975,5601,16.875,41.324772,18.6,,,,41.31369
8,Italy,1976,6288,16.577539,45.425701,,,,,42.21162
8,Italy,1977,6821,17.43119,45.851334,,,,,41.67762
8,Italy,1978,7542,12.10938,45.114742,,,,,41.045071
8,Italy,1979,8594,14.63415,47.706306,,,,,40.675709
8,Italy,1980,9643,21.2766,46.654396,29.200001,0.37278,0.32451999,26.728001,40.379559
8,Italy,1981,10593,17.794491,48.836246,,,,,39.038651
8,Italy,1982,11275,16.38298,47.112198,,,,,38.13298
8,Italy,1983,11812,14.62523,43.484116,,,,,36.95853
8,Italy,1984,12543,10.84529,45.805889,,,,,36.528419
8,Italy,1985,13285,9.2086334,46.108475,30.299999,,,,36.099941
8,Italy,1986,13896,5.797101,38.941029,,,,,34.896999
8,Italy,1987,14688,4.732254,38.368252,,,,,34.578098
8,Italy,1988,15784,5.1129608,37.962685,,,,,34.441071
8,Italy,1989,16875,6.2217188,40.167339,,,,,34.55434
8,Italy,1990,17946,6.496273,40.0452,31.5,,,,33.897999
8,Italy,1991,18845,6.3000002,37.988586,,,,,32.910801
8,Italy,1992,19367,5.0799618,39.345406,,,,,32.388691
8,Italy,1993,19778,4.4762759,42.431316,,,,,31.35425
8,Italy,1994,20577,4.027421,45.074287,,,,,31.301359
8,Italy,1995,21532,5.2443709,51.247398,32.400002,,,,31.501289
8,Italy,1996,22235,3.974524,48.172119,,,,,30.502131
8,Italy,1997,22810,2.0431061,50.315632,,,,,30.06423
8,Italy,1998,23840,1.96294,,,,,,29.91003
8,Italy,1999,24402,1.655629,,,,,,29.311411
8,Italy,2000,25759,2.5376871,,32,,,,29.04274
8,Italy,2001,26586,2.785166,,,,,,28.742929
8,Italy,2002,27320,2.4653201,,,,,,28.28014
8,Italy,2003,27537,2.672559,,,,,,27.804819
9,Netherlands,1960,2113,,90.887093,11.1,,,,
9,Netherlands,1961,2111,1.732093,88.212914,,,,,
9,Netherlands,1962,2275,2.2860379,86.703773,,,,,
9,Netherlands,1963,2360,3.343184,87.91217,,,,,
9,Netherlands,1964,2566,5.790884,86.539818,,,,,
9,Netherlands,1965,2739,5.794898,83.929771,13.6,,,,
9,Netherlands,1966,2874,5.7968702,82.381424,,,,,
9,Netherlands,1967,3078,3.486793,79.591179,,,,,
9,Netherlands,1968,3399,3.6756129,79.654465,,,,,
9,Netherlands,1969,3951,7.4282498,82.784653,,,,,
9,Netherlands,1970,4342,3.6799369,88.73793,45.799999,,,,
9,Netherlands,1971,4705,7.4775801,88.536026,,,,,37.20113
9,Netherlands,1972,4984,7.79175,84.717201,,,,,36.960201
9,Netherlands,1973,5475,8.0135193,88.922119,,,,,36.77002
9,Netherlands,1974,6165,9.6093674,102.14023,,,,,36.934269
9,Netherlands,1975,6699,10.21273,93.638176,44.299999,,,,35.57053
9,Netherlands,1976,7345,9.0574865,95.766205,,,,,35.763512
9,Netherlands,1977,7959,6.474103,91.196617,,,,,35.207821
9,Netherlands,1978,8676,4.0800171,87.713753,,,,,34.131889
9,Netherlands,1979,9504,4.210454,96.286804,,,,,34.084469
9,Netherlands,1980,10458,6.7333202,102.65746,44.099998,0.29368001,0.30778,21.84,34.517979
9,Netherlands,1981,11304,6.748466,109.61195,,,,,34.746471
9,Netherlands,1982,11784,5.8620691,107.3393,,,,,34.068932
9,Netherlands,1983,12419,2.823019,106.94978,,,,,33.90657
9,Netherlands,1984,13234,3.273495,114.40473,,,,,34.551781
9,Netherlands,1985,13938,2.2239261,116.79983,44.700001,,,,34.86816
9,Netherlands,1986,14613,0.100025,97.608826,,,,,32.419331
9,Netherlands,1987,15197,-0.70780247,96.81971,,,,,30.761841
9,Netherlands,1988,16082,0.7463938,101.08154,,,,,30.96866
9,Netherlands,1989,17387,1.0821609,106.49139,,,,,30.665979
